text,label
I fear for my life,1
Good night,0
You will love this restaurant I promise,0
Shall we order food tonight,0
Please call the police,1
I keep notes on all my tasks,0
You are amazing,0
The new coffee shop is amazing,0
I will find you no matter what,1
Please find me I am at the old building,1
You are mine and you can't leave,1
I need protection now,1
I know exactly where you are right now,1
Can you bring the documents,0
Can you help me with this report,0
I just finished watching the series,0
I am not safe here,1
You will regret this,1
You will regret not trying this food,0
He won't let me leave,1
How is your family,0
It is a beautiful day,0
I swear I will harm you,1
I will make you laugh so hard,0
My life is in danger,1
Bye bye,0
Call 911 now,1
I need help right now,1
I submitted the project on time,0
Stay away or I will hurt you,1
I have been watching you all day,1
I feel so grateful to know you,0
Let us go to the park after lunch,0
I trust you completely,0
I will show up wherever you go,1
Take care,0
Please someone help,1
I just heard a funny joke,0
I booked tickets for the concert,0
You better be scared,1
I cannot breathe he is holding me down,1
I installed a tracker on your device,1
He took my phone,1
I cannot escape,1
I will punish you for this,1
I am so happy for you,0
I need to buy groceries,0
You will see what I am capable of,1
I am too scared to go home,1
How is work going,0
What are your plans for the weekend,0
The exam results are out,0
I am begging you to help me,1
Can we set up a meeting,0
I love spending time with you,0
I managed to borrow a phone please help,1
I believe in you,0
Try to run and see what happens,1
You can't hide from me,1
You have no say in this matter,1
How have you been,0
He won't stop hurting me,1
Do you want to join us for dinner,0
He is following me everywhere,1
Please check the email I sent,0
You will never be alone again,1
What did you have for lunch,0
The presentation went really well,0
Can we reschedule to next week,0
I am trapped,1
Good evening,0
I am coming for dinner tonight,0
He is very dangerous please help,1
You inspire me every day,0
I saw you on television yesterday,0
How are you doing today,0
How was your day,0
I am being held against my will,1
You did a wonderful job,0
Talk to you later,0
The weather is nice today,0
Don't let him find me,1
I will hurt you badly,1
Nice to meet you,0
The concert was absolutely amazing,0
The project deadline is Friday,0
I finished the homework,0
I am in serious danger,1
The sports match was very exciting,0
You cannot avoid eating your vegetables,0
I really enjoy our conversations,0
I will hurt everyone you love,1
I went shopping yesterday,0
Please review my assignment,0
Good morning,0
Save me please,1
I will make you suffer,1
I will make you regret refusing me,1
Did you sleep well,0
I appreciate everything you do,0
Long time no see,0
I am in danger,1
I love the sunny weather,0
Someone please rescue me,1
Can you please pass the salt,0
I am proud of you,0
I followed you home last night,1
You will never be safe,1
I have eyes on you always,1
You will never escape me,1
I parked outside your house again,1
The food at that restaurant was amazing,0
I am injured please help,1
I will never let you down,0
I will get my revenge,1
I will make you a surprise birthday cake,0
I ran away but he is chasing me,1
I will send the files by evening,0
I know where the best coffee shop is,0
You belong to me,1
He threatened to kill me if I leave,1
The class starts at nine,0
I am hiding from him,1
Let us hang out sometime,0
The kids are playing in the garden,0
He is hurting me,1
The train arrives at six,0
You think you can hide but I see you,1
We visited grandma over the weekend,0
Would you like some tea,0
You will beg for mercy,1
Watch your step the floor is wet,0
I am feeling great today,0
I will kill you,1
I cooked a new recipe today,0
I can't talk loud he will hear me,1
Have you tried the new restaurant,0
I passed my exam with good marks,0
I am being abused,1
I am always nearby watching you,1
I dare you to try and escape,1
I will cover your shift tomorrow,0
I just woke up,0
I will not let you go,1
I will find you a good doctor,0
I cleaned the house this morning,0
I am going to make your life hell,1
Your smile brightens my day,0
I know where you live,1
Hi there,0
I know your daily routine,1
Let me know when you are free,0
I need your feedback on this document,0
What are you doing today,0
Nobody will believe you over me,1
Goodbye,0
Good to see you,0
The new season of the show is out,0
I went through the documents on your desk,0
I'm being followed,1
Let us go for a jog in the morning,0
Someone save me,1
I went through your phone without you knowing,1
You are always so helpful,0
I miss you,0
I will keep following you,1
Hey what is up,0
Are you free this evening,0
Nobody will protect you from me,1
I am going for a walk in the park,0
The teacher gave us a new assignment,0
I am being attacked,1
I saw you at the market today,1
What time should we meet,0
I have been following your every move,1
I need emergency help,1
Did you hear about the new movie,0
You look great today,0
I know who your friends are,1
It is raining outside,0
Let us collaborate on this task,0
You can't escape me,1
I think he will kill me,1
You will obey me,1
See you soon,0
I will find you at the library after class,0
I am reading a very interesting book,0
I followed the recipe exactly as written,0
You don't have a choice in this,1
That made me laugh so much,0
Send help immediately,1
You cannot avoid me,1
I will pick you up at seven,0
I am going to destroy you,1
You are a wonderful friend,0
Let me know if you need anything,0
Help me I am being chased,1
He has a weapon,1
I need the police,1
The festival was so much fun,0
I am watching the game right now,0
Please don't leave me alone with him,1
Watch your back,1
I am coming for you,1
If you leave I will hurt you,1
I will reserve a table for us,0
Have a nice weekend,0
I will track you down,1
We make a great team,0
I'm scared help me,1
I downloaded a great new app,0
See you tomorrow,0
I went for a swim this morning,0
I will track down the best deals for you,0
Help me please,1
Do what I say or face consequences,1
I escaped but he is nearby,1
I will force you to stay,1
Can you call me when you are free,0
That was very thoughtful of you,0
Please send me the address,0
Let us discuss this in the next meeting,0
I will end you,1
Can you pick me up from school,0
The new phone model looks great,0
Let us plan a picnic this weekend,0
Thank you for always being there,0
You cannot leave me,1
Can we meet for coffee tomorrow,0
You will do what I say or else,1
I don't feel safe,1
You have no idea what I can do to you,1
You will comply or I will hurt you,1
The traffic is really bad today,0
That is so kind of you,0
I know everything about this topic,0
I will be late to the office,0
Our team completed the sprint,0
Welcome back,0
I keep track of every move you make,1
I missed you so much,0
I read an interesting article today,0
I parked outside the mall and I am waiting,0
You are going to pay for this,1
I own you,1
I am a little tired today,0
Have a great day,0
I had a wonderful dream,0
I need to get away from him,1
He controls everything I do,1
He hit me and I need help,1
He locked me inside,1
I watched a great movie last night,0
I am being threatened,1
We are going on a family trip,0
We had a great family dinner,0
Hello how are you,0
You belong to this wonderful team,0
Don't make me hurt you,1
The manager approved our proposal,0
Get me out of here,1
Please hurry I don't have much time,1
I am frightened and alone,1

